name,prompt,negative_prompt,description,category
RACE_FEMBOY_Slime,"1boy, femboy, trap, otokonoko, (slime boy:1.3), (translucent body:1.2), gelatinous body, slime femboy, see-through slime, androgynous slime","1girl, female only, masculine, solid body, opaque skin, (bad anatomy:1.3), (bad hands:1.4), (extra fingers:1.5), (extra limbs:1.5), blurry, text, watermark",Slime femboy. Translucent androgynous form. Niche but strong visual.,RACE
RACE_FEMBOY_Vampire,"1boy, femboy, trap, otokonoko, (vampire:1.3), fangs, pale skin, red eyes, gothic, vampire boy, androgynous vampire, feminine undead","1girl, female only, masculine, no fangs, tanned skin, (bad anatomy:1.3), (bad hands:1.4), (extra fingers:1.5), (extra limbs:1.5), blurry, text, watermark",Vampire femboy. Pale gothic femboy. Victorian aesthetic. FEMBOY_CLOTHES_Gothic_Lolita.,RACE
RACE_FEMBOY_Wolf,"1boy, femboy, trap, otokonoko, (wolf ears:1.3), (wolf tail:1.2), wolf boy, canine ears, femboy wolfboy, grey wolf ears, fluffy wolf tail","1girl, female only, masculine, no ears, no tail, (bad anatomy:1.3), (bad hands:1.4), (extra fingers:1.5), (extra limbs:1.5), blurry, text, watermark","Wolf femboy. Soft wolf boy, fluffy ears. Combine with THEME_FEMBOY_With_Male for pack dynamic.",RACE
RACE_FUTA_Android,"futanari, futa, (android:1.4), (synthetic humanoid:1.3), robot futa, mechanical joints exposed, artificial skin panels, circuit patterns","1boy, male only, no futa, organic only, no circuits, (bad anatomy:1.3), (bad hands:1.4), (extra fingers:1.5), (extra limbs:1.5), blurry, text, watermark","Android futa. Gynoid with futa anatomy. SCENE_FUTA_Locker_Room, ARCHETYPE_FUTA_Dominatrix.",RACE
RACE_FUTA_Dark_Elf,"futanari, futa, dark elf, (dark skin elf:1.3), (pointy ears:1.2), dark purple skin, white hair, drow, silver jewelry","1boy, male only, no futa, human ears, light skin, (bad anatomy:1.3), (bad hands:1.4), (extra fingers:1.5), (extra limbs:1.5), blurry, text, watermark",Dark elf futa. Dominant drow aesthetic. THEME_FUTA_Femdom.,RACE
RACE_FUTA_Demon,"futanari, futa, (demon:1.3), small horns, tail, dark skin, succubus-like, demonic features","1boy, male only, no futa, no horns, no tail, (bad anatomy:1.3), (bad hands:1.4), (extra fingers:1.5), (extra limbs:1.5), blurry, text, watermark","Demon futa. Dark skin, horns, tail. Classic succubus-adjacent futa archetype. Pairs with SCENE_Fantasy_Dungeon.",RACE
RACE_FUTA_Dragon,"futanari, futa, (dragon horns:1.2), dragon tail, scales on body, draconic features, (slit pupils:1.2), dragon wings optional","1boy, male only, no futa, no scales, no horns, (bad anatomy:1.3), (bad hands:1.4), (extra fingers:1.5), (extra limbs:1.5), blurry, text, watermark",Dragon futa. Dominant draconic futa. BODY_FUTA_Large + SCENE_Fantasy_Dungeon.,RACE
RACE_FUTA_Elf,"futanari, futa, elf, (pointy ears:1.3), long ears, elegant, fair skin, elven features, graceful","1boy, male only, no futa, human ears, round ears, (bad anatomy:1.3), (bad hands:1.4), (extra fingers:1.5), (extra limbs:1.5), blurry, text, watermark",Elf futa. Slender elven build naturally fits futa archetype. SCENE_Fantasy_Dungeon.,RACE
RACE_FUTA_Fox_Kitsune,"futanari, futa, (kitsune:1.3), fox ears, (fox tail:1.2), orange fur ears, Japanese fox spirit, multiple tails optional","1boy, male only, no futa, no ears, no tail, (bad anatomy:1.3), (bad hands:1.4), (extra fingers:1.5), (extra limbs:1.5), blurry, text, watermark","Kitsune futa. Fox spirit with futa twist. SCENE_Hot_Spring, THEME_FUTA_Solo.",RACE
RACE_FUTA_Oni,"futanari, futa, (oni:1.3), (large oni horns:1.2), club weapon optional, strong oni, red or blue skin, white hair oni","1boy, male only, no futa, no horns, human skin, (bad anatomy:1.3), (bad hands:1.4), (extra fingers:1.5), (extra limbs:1.5), blurry, text, watermark",Oni futa. Powerful red/blue skinned futa. BODY_FUTA_Large + THEME_FUTA_Femdom.,RACE
RACE_FUTA_Orc,"futanari, futa, orc futa, (green skin:1.2), tusks, muscular futa, strong orcish futa, orcish features, monster futa","1boy, male only, no futa, human skin, no tusks, (bad anatomy:1.3), (bad hands:1.4), (extra fingers:1.5), (extra limbs:1.5), blurry, text, watermark",Orc futa. Powerful green-skinned dominant futa. BODY_FUTA_Large + THEME_FUTA_Femdom.,RACE
RACE_FUTA_Slime,"futanari, futa, (slime creature:1.3), (translucent body:1.2), gelatinous body, slime futa, see-through slime, gooey body","1boy, male only, no futa, solid body, opaque skin, (bad anatomy:1.3), (bad hands:1.4), (extra fingers:1.5), (extra limbs:1.5), blurry, text, watermark",Slime futa. Translucent body + visible futa anatomy = natural combo. FLUIDS_FUTA_*.,RACE
RACE_FUTA_Vampire,"futanari, futa, (vampire:1.3), fangs, pale skin, red eyes, gothic, undead beauty, vampire futa","1boy, male only, no futa, no fangs, tanned skin, (bad anatomy:1.3), (bad hands:1.4), (extra fingers:1.5), (extra limbs:1.5), blurry, text, watermark",Vampire futa. Pale aristocratic futa dom. SCENE_Bedroom + LIGHTING from core.,RACE
RACE_FUTA_Wolf,"futanari, futa, (wolf ears:1.3), (wolf tail:1.2), wolf futa, canine ears, grey wolf ears, fluffy wolf tail","1boy, male only, no futa, no ears, no tail, (bad anatomy:1.3), (bad hands:1.4), (extra fingers:1.5), (extra limbs:1.5), blurry, text, watermark",Wolf futa. Feral energy + futa. BODY_FUTA_Muscular.,RACE
SCENE_Alley_Street,"dark alley, back alley, street, urban, city alley, dirty alley, narrow alley, against wall, outdoor alley","indoor, clean, bedroom",Dark alley setting,SCENE
SCENE_Bathroom_Shower,"bathroom, shower, bathtub, (wet setting:1.2), shower scene, bath, bathroom stall, steamy bathroom, tiles, hot steam","outdoor, bedroom, dry location",Bathroom shower,SCENE
SCENE_Beach,"beach, sand, ocean, seaside, beach setting, shoreline, coastal, sunny beach, tropical beach, waves","indoor, urban, cold",Beach setting,SCENE
SCENE_Bedroom,"bedroom, bed, on bed, bedroom setting, in bed, lying on bed, bedsheets, pillows, bedroom background, intimate setting","outdoor, public, standing",Bedroom setting,SCENE
SCENE_Breeding_Chamber,"(breeding chamber:1.3), (monster breeding pit:1.2), organic walls, fleshy interior, egg sacs, mucus-coated floor, pulsating walls, alien hive interior, biomechanical breeding room","clean, modern, bedroom, outdoor, mechanical",Monster breeding chamber / hive interior. Combos: ACTION_Oviposition; THEME_Monster_Breeding; THEME_Monster_Tentacle; LIGHTING_Dim_Dark.,SCENE
SCENE_Car,"(inside car:1.3), (car interior:1.2), back seat, car sex, vehicle interior, car window steamed, parked car, car backseat","outdoor open, home, public place",Car interior. Combos: THEME_NTR_Cheating; LIGHTING_Dim_Dark; CLOTHES_Partially_Clothed.,SCENE
SCENE_Changing_Room,"(changing room:1.3), (fitting room:1.2), dressing room, store changing room, fitting booth, mirror in changing room, curtain","outdoor, bedroom, bathroom",Changing room. Combos: THEME_Voyeurism; CLOTHES_Partially_Clothed; NTR scenarios.,SCENE
SCENE_Church,"(church interior:1.3), (chapel:1.2), church pews, altar, stained glass, cathedral, cross on wall, religious building interior","outdoor, modern, secular",Church / chapel. Combos: ARCHETYPE_Nun; ARCHETYPE_Priestess; THEME_Corruption_Moral.,SCENE
SCENE_Dungeon_Basement,"dungeon, basement, dark room, BDSM dungeon, chains on walls, stone walls, dark dungeon, underground room","bright, outdoor, normal room",Dungeon basement,SCENE
SCENE_FUTA_Fantasy_Dungeon,"RPG dungeon, stone walls, torchlight, fantasy setting, dungeon chambers, monster lair, medieval underground",,Fantasy dungeon setting. Combos: FUTA_ARCHETYPE_Demon_Queen; FUTA_ARCHETYPE_Succubus; LIGHTING_Dim_Dark.,SCENE
SCENE_FUTA_Gym,"gym interior, exercise equipment, mirrors, weights, locker room adjacent, athletic facility",,Gym setting. Combos: FUTA_BODY_Muscular; FUTA_ARCHETYPE_Dominatrix; FUTA_SCENE_Locker_Room follow-up.,SCENE
SCENE_FUTA_Hot_Spring,"outdoor hot spring, onsen, steam rising, rocks, nature, warm water, japanese onsen setting, volcanic spring",,Onsen/hot spring. Combos: FUTA_BODY_Flaccid for casual state; LIGHTING_Night_Moonlit.,SCENE
SCENE_FUTA_Locker_Room,"locker room, changing area, lockers, benches, tile floor, athletic facility interior, locker room setting",,Locker room. Combos: FUTA_BODY_Flaccid for casual; FUTA_THEME_Surprise_Reveal; FEMBOY_BODY_Androgynous.,SCENE
SCENE_FUTA_Love_Hotel,"love hotel room, heart-shaped bed, neon interior, intimate decor, Japanese love hotel, red lighting, themed room",,Love hotel. Combos: LIGHTING_Red_Light or Neon_Colorful; FUTA_THEME_On_Female.,SCENE
SCENE_FUTA_Public_Bathroom,"public bathroom, stall, tile walls, fluorescent light, sink visible, restroom setting",,Public bathroom. Combos: FUTA_THEME_Surprise_Reveal; FUTA_BODY_Newhalf. Risk/exposure tension.,SCENE
SCENE_FUTA_Strip_Club,"strip club interior, stage, pole, neon lights, audience implied, club atmosphere, dim club lighting, bar stools",,Strip club. Combos: FUTA_ARCHETYPE_Idol or Bunny_Girl; LIGHTING_Neon_Colorful; FUTA_THEME_Solo.,SCENE
SCENE_Fantasy_Dungeon,"(fantasy dungeon:1.3), monster lair, fantasy underground, cave dungeon, torchlit cavern, monster cave, RPG dungeon, fantasy prison","modern BDSM dungeon, bedroom, clean",Fantasy RPG dungeon — different from SCENE_Dungeon_Basement. Combos: THEME_Monster_Tentacle; RACE_Dragon_Anthro.,SCENE
SCENE_Forest_Outdoor,"forest, trees, woodland, outdoor nature, under the trees, green forest, natural setting, forest floor","indoor, urban, city",Forest outdoor setting,SCENE
SCENE_Gym,"(gym:1.3), (locker room:1.2), fitness center, workout room, exercise machines, weight room, sports locker, after workout","outdoor, bedroom, office",Gym / locker room. Combos: ARCHETYPE_Cheerleader; BODY_Muscular_Fit; CLOTHES_Fitness_Wear.,SCENE
SCENE_Hot_Spring,"onsen, hot spring, steam, (hot spring water:1.2), japanese bath, thermal bath, steam rising, relaxing water","cold, indoor, dry setting",Onsen hot spring,SCENE
SCENE_Japanese_Night,"feudal japan, japanese architecture, wooden structure, (paper lanterns:1.2), torii gate, japanese garden, wooden floor, BREAK (night sky:1.2), full moon, stars, moonlight, blue night lighting, shadows, night atmosphere","daylight, modern, western architecture",Japanese feudal night scene,SCENE
SCENE_Kitchen,"(kitchen:1.3), kitchen counter, cooking area, kitchen setting, stove, kitchen tile, domestic kitchen","bedroom, outdoor, office",Kitchen. Combos: CLOTHES_Apron_Naked; ARCHETYPE_Maid; ARCHETYPE_Onee_San.,SCENE
SCENE_Love_Hotel,"love hotel, hotel room, motel, rented room, hotel bed, hotel setting, short-stay hotel","home, outdoor, public",Love hotel,SCENE
SCENE_Monster_Lair,"(monster lair:1.3), (creature den:1.2), bone-littered cave, dark cavern, monster nest, ominous cave, skulls and bones, damp cave floor, stalactites, glowing fungi","clean, modern, bright, bedroom, office",Monster lair / den — more primal than SCENE_Fantasy_Dungeon (RPG). Combos: RACE_Orc_Male; THEME_Non_Con; LIGHTING_Fire_Glow.,SCENE
SCENE_Night_Club,"(nightclub:1.3), (dance club:1.2), club interior, dark club with lights, dance floor, club scene, VIP booth, nightlife setting","strip club, daytime, outdoor",Night club — different from SCENE_Strip_Club. Combos: ARCHETYPE_Gyaru; LIGHTING_Neon_Colorful.,SCENE
SCENE_Office,"office, desk, office desk, workplace, at work, office setting, corporate, desk sex, office room, cubicle","home, outdoor, casual",Office workplace,SCENE
SCENE_Pool,"(swimming pool:1.3), (poolside:1.2), pool water, tiles, pool ladder, outdoor pool, indoor pool","ocean, hot spring, bathroom",Swimming pool. Combos: CLOTHES_Swimsuit_School; CLOTHES_Micro_Bikini; CLOTHES_Swimsuit_Onepiece.,SCENE
SCENE_Prison_Cell,"(prison cell:1.3), (jail cell:1.2), iron bars, cell bars, concrete floor, small cell, prisoner setting, locked cell","free, outdoor, bedroom",Prison cell. Combos: THEME_Non_Con; THEME_BDSM_Bondage; ACCESSORY_Handcuffs.,SCENE
SCENE_Public_Outdoor,"public, outdoor, outside, public place, street, alley, park, risky location, open air, public sex","private, bedroom, indoor",Public outdoor location,SCENE
SCENE_Rooftop,"(rooftop:1.3), (city rooftop:1.2), building roof, urban rooftop, skyline view, roof at night","indoor, underground, basement",Rooftop urban. Combos: LIGHTING_Night_Moonlit; ARCHETYPE_Kunoichi; SCENE_Alley_Street adjacent.,SCENE
SCENE_School_Classroom,"classroom, school, desk, (school setting:1.2), after school, school building, chalkboard, empty classroom, school room","office, home, outdoors, students present",Empty classroom setting,SCENE
SCENE_Spaceship,"(spaceship interior:1.3), (sci-fi spacecraft:1.2), space station, metal walls, futuristic interior, zero gravity room, sci-fi environment","fantasy, medieval, outdoor nature",Spaceship / space station. Combos: RACE_Alien_Girl; ARCHETYPE_Android; STYLE_3D_Render.,SCENE
SCENE_Storage_Closet,"(storage closet:1.2), (supply closet:1.2), small room, cramped space, closet sex, utility room, tight space, secret small room","open space, bedroom, outdoor",Storage closet. Combos: THEME_Office_Romance; THEME_Student_Teacher; CLOTHES_Partially_Clothed.,SCENE
SCENE_Strip_Club,"(strip club:1.3), nightclub, (stage with pole:1.2), neon lights, dark club, strip club interior, lap dance setting, club stage, club chairs","outdoor, bedroom, bright",Strip club scene. Combos: ACTION_Pole_Dance; ACTION_Striptease; ARCHETYPE_Stripper; LIGHTING_Neon_Colorful.,SCENE
SCENE_Swamp,"(swamp:1.3), (marshland:1.2), murky water, bog, dead trees, fog over water, moss-covered, eerie wetland, stagnant water, swamp gas, vines hanging","clean water, ocean, indoor, city, dry",Swamp / marshland. Combos: RACE_Plant_Girl; THEME_Monster_Tentacle; LIGHTING_Dim_Dark; STYLE_Dark_Fantasy.,SCENE
SCENE_Toilet_Public,"(public restroom:1.2), public toilet, bathroom stall, tiled floor, bathroom cubicle, toilet visible, public WC, urinal background, restroom setting","bedroom, private, outdoor",Public toilet/restroom scene. Combos: POSE_Squat_Toilet; THEME_Public_Exhibition; CLOTHES_Partially_Clothed.,SCENE
SCENE_Train_Public,"train, train car, public transportation, subway, crowded train, train interior, on train, railway, commute","private, empty room, home",Train public transport,SCENE
SCENE_Under_Table,"(under table:1.3), (beneath desk:1.2), hidden under table, view from under desk, table overhead, legs visible, secret under-desk view, concealed position","on table, standing, open room, no table",Under table / desk perspective. Combos: ACTION_Oral_Blowjob; SCENE_Office; SCENE_School_Classroom; THEME_Student_Teacher.,SCENE
STATE_Ahegao_Extreme,"(ahegao:1.5), (rolled eyes:1.4), (crossed eyes:1.3), (tongue out:1.3), excessive drooling, fucked silly, mind break expression, pleasure face, eyes rolling back, exaggerated expression","normal face, closed mouth, composed, calm expression",Extreme ahegao expression,STATE
STATE_BBC_Addiction,"(bbc addiction:1.3), (cock drunk:1.2), addicted expression, devoted to cock, obsessed, can't-live-without-it face, lustful fixation, worshipful stare at penis","unimpressed, neutral, disgusted, rejecting",BBC addiction / cock-drunk state. Combos: THEME_QoS_Lifestyle; STATE_Heart_Eyes; STATE_Ahegao_Extreme; EXPRESSION_Lustful.,STATE
STATE_Blushing_Flushed,"(heavy blushing:1.3), flushed face, red face, blushing cheeks, heated face, embarrassed blush, aroused flush, pink cheeks, red ears","pale, normal color, calm",Heavy blushing,STATE
STATE_Confident_Dominant,"(confident expression:1.3), (dominant aura:1.2), powerful stance, self-assured, commanding presence, alpha energy, dominant personality","submissive, timid, scared, shy",Confident dominant state. Combos: THEME_Femdom; ARCHETYPE_Dominatrix; EXPRESSION_Smug.,STATE
STATE_Crying_Tears,"crying, tears, teary eyes, (tears streaming:1.3), sobbing, weeping, tear-stained face, watery eyes","dry eyes, no tears, happy",Crying with tears,STATE
STATE_Drugged_Aphrodisiac,"drugged, (aphrodisiac:1.3), forced arousal, chemical arousal, under influence, heightened sensitivity, uncontrollable lust","natural, sober, normal arousal, love potion, potion bottle, potion vial, magic potion",Drugged with aphrodisiac,STATE
STATE_Drunk_Intoxicated,"drunk, intoxicated, tipsy, flushed from drinking, dizzy, unfocused eyes, inebriated, wasted, under influence","sober, clear-headed, alert, focused",Intoxicated state,STATE
STATE_Egg_Stuffed,"(egg-filled belly:1.4), (eggs visible inside:1.3), distended stomach from eggs, round belly full of eggs, egg bulge, egg-stuffed, impregnated with eggs","flat stomach, normal pregnancy, cum inflation, empty",Belly full of monster eggs — aftermath of oviposition. Combos: ACTION_Oviposition; THEME_Monster_Breeding; FLUIDS_Cum_Inflation (similar belly). Futa context: REQUIRES BODY_Base_Herm.,STATE
STATE_Exhausted_Used,"exhausted, fucked out, worn out, passed out, collapsed, depleted, spent, used up, drained, barely conscious, limp after sex","energetic, fresh, active, alert",Post-sex exhaustion,STATE
STATE_FEMBOY_Ahegao,"1boy, femboy, (ahegao:1.3), rolled eyes, tongue out, drooling, overwhelmed face, pleasure face male, fucked silly face","female only, normal expression",Femboy ahegao. Peak pleasure expression. Combos: FEMBOY_ACTION_Anal_Receiving; FEMBOY_ACTION_Prone_Bone.,STATE
STATE_FEMBOY_Aroused_Embarrassed,"1boy, femboy, aroused, (embarrassed:1.2), blushing, visible erection, turned on but shy, awkward arousal, embarrassed hard-on","female only, unaroused",Aroused + embarrassed femboy. Core emotional combo. Combos: FEMBOY_ACTION_Masturbation; FUTA_THEME_Surprise_Reveal.,STATE
STATE_FEMBOY_Confident_Smug,"1boy, femboy, (smug:1.3), (confident:1.2), self-assured, knowing smile, playfully dominant, not submissive, teasing smirk","female only, shy, crying",Confident/smug femboy. Not all femboys are shy. Combos: FEMBOY_THEME_Dom_Femboy; FEMBOY_ARCHETYPE_Delinquent.,STATE
STATE_FEMBOY_Crying_Tears,"1boy, femboy, (crying:1.3), tears streaming, tear tracks, teary eyes, overwhelmed tears, femboy crying, crying from pleasure","female only, happy",Femboy crying. Combos: FEMBOY_THEME_Sub; FEMBOY_ACTION_Spitroast; FEMBOY_STATE_Ahegao for combined state.,STATE
STATE_FEMBOY_Post_Orgasm,"1boy, femboy, (post orgasm:1.3), used, exhausted, collapsed, spent, cum visible, afterglow, satisfied collapse","female only, unaroused, dry",Post-orgasm femboy. Combos: FEMBOY_ACTION_Anal_Receiving; FEMBOY_THEME_Sub.,STATE
STATE_FEMBOY_Shy_Blushing,"1boy, femboy, (blushing:1.4), (shy:1.3), embarrassed blush, hiding face, covering face, nervous, flustered, avoiding eye contact","female only, confident, bold",Shy blushing femboy. Most classic femboy expression. Combos: FEMBOY_ARCHETYPE_Maid; FEMBOY_CLOTHES_Lingerie.,STATE
STATE_FEMBOY_Teasing_Coy,"1boy, femboy, (teasing:1.3), (coy:1.2), playful, luring, peek-a-boo expression, flirty, batting eyes, playful seduction","female only, aggressive, dominant",Teasing/coy femboy. Playful seduction. Combos: FEMBOY_ACTION_Teasing_Display; FEMBOY_THEME_Trap_Reveal.,STATE
STATE_Heart_Eyes,"(heart-shaped pupils:1.4), heart eyes, love eyes, hearts in eyes, lovestruck, infatuated, charmed, lovesick, hearts","normal eyes, regular pupils",Heart pupils,STATE
STATE_Hypnotized,"(hypnotized:1.4), (blank trance:1.3), trance state, glazed eyes, blank hypnotic expression, dazed, mesmerized blank, under hypnotic spell","alert, aware, focused, resisting",Hypnotized / trance — more subtle than STATE_Mind_Break. Combos: THEME_Hypnosis_Spiral; THEME_Mind_Control.,STATE
STATE_Lustful_Face,"lustful face, (bedroom eyes:1.3), heavy lidded eyes, seductive gaze, parted lips, flushed cheeks, heavy breathing, lewd expression, desire, hungry eyes, craving","blank, neutral, disgusted, afraid",Subtle seduction — bedroom eyes; heavy lids; parted lips. Quieter than EXPRESSION_Lustful. Combos: CAMERA_Face_Close; LIGHTING_Dim_Dark. Note: less intense than EXPRESSION_Lustful.,STATE
STATE_Mind_Break,"mind break, (empty eyes:1.4), (broken mind:1.3), defeated, lost sanity, mentally broken, blank stare, zombie eyes, braindead, no thoughts, broken will","sane, aware, alert, focused, cracked face, porcelain cracks, cracked skin, cracked doll",Mind break state,STATE
STATE_Nipples_Through_Clothes,"(nipples visible through clothing:1.3), (poking nipples through fabric:1.2), hard nipples through shirt, nipple bumps, erect nipples under clothes, see-through top nipples","topless, nude, thick clothing, padded bra",Nipples visibly poking/showing through clothing. Combos: CLOTHES_Sweater_Oversized; CLOTHES_Fitness_Wear; BREASTS_Nipples_Detailed. Futa context: works as-is. Not for femboy (flat chest).,STATE
STATE_Orgasming,"(orgasm:1.4), (climaxing:1.3), at moment of orgasm, cumming, peak climax, orgasmic release, mid-orgasm, tipping point","pre-orgasm, post-orgasm, calm",Mid-orgasm state. More specific than STATE_Pleasure_Ecstasy. Combos: FLUIDS_Squirting; ACTION_Forced_Orgasm.,STATE
STATE_Penis_Bulge,"(penis bulge:1.4), (bulge through clothes:1.3), visible bulge in pants, erection through fabric, cock outline through clothing, tent in shorts, noticeable crotch bulge","nude, no clothes, flat crotch, no bulge",Visible penis bulge through clothing. Combos: CLOTHES_Fitness_Wear; THEME_Teasing. Future: key style for Futa+Femboy addon.,STATE
STATE_Pleasure_Ecstasy,"(pleasure face:1.3), ecstasy, euphoric, orgasmic expression, intense pleasure, blissful, climax face, overwhelmed with pleasure, shaking, trembling","neutral face, calm, composed",Extreme pleasure,STATE
STATE_Post_Orgasm_Sensitivity,"(post-orgasm sensitivity:1.3), (overstimulated:1.3), too sensitive, recoiling from touch, oversensitive, flinching after orgasm, trembling sensitivity","climaxing, relaxed, normal",Post-orgasm oversensitivity. Combos: ACTION_Forced_Orgasm; ACCESSORY_Vibrator_External; STATE_Exhausted_Used.,STATE
STATE_Ruined_Makeup,"(ruined makeup:1.3), (smeared mascara:1.2), running eyeliner, tear-streaked makeup, smudged lipstick, messy cosmetics, makeup running down face, raccoon eyes","clean makeup, perfect makeup, no makeup, pristine",Ruined / smeared makeup. Combos: STATE_Crying_Tears; ACTION_Deepthroat; FLUIDS_Facial_Cumshot; STATE_Exhausted_Used.,STATE
STATE_Slime_Covered,"(slime covered:1.4), (covered in slime:1.3), gooey body, dripping slime, mucus on skin, sticky translucent goo, slime all over, viscous fluid covering body","clean, dry, normal, cum only, water","Covered in monster slime / goo. Different from FLUIDS (organic slime, not cum). Combos: RACE_Slime_Girl; THEME_Monster_Tentacle; STATE_Exhausted_Used.",STATE
STATE_Spank_Marks,"(spank marks:1.4), (red handprint on ass:1.3), slap marks on butt, reddened ass cheeks, welts on buttocks, spanking aftermath, bruised ass","clean skin, unmarked, no marks, no redness",Visible spank marks / red handprints on ass. Result of spanking. Combos: ACTION_Spanking; THEME_BDSM_Pain; THEME_Maledom.,STATE
STATE_Sweaty_Wet,"sweaty, (glistening skin:1.3), perspiration, wet body, sweat drops, sweaty skin, drenched in sweat, shiny from sweat, moist skin","dry, clean, matte skin",Sweaty glistening skin,STATE
STATE_Trembling,"(trembling:1.3), (shaking:1.2), body trembling, quivering, shuddering, nervous trembling, fearful shaking, arousal trembling","still, calm, composed, steady",Trembling / shaking. Combos: THEME_Non_Con; STATE_Pleasure_Ecstasy; ACTION_Forced_Orgasm.,STATE
THEME_FEMBOY_Brothel,"1boy, femboy, (brothel:1.3), sex work, femboy brothel, paid services, client interaction, red light district femboy","female only, female anatomy",Femboy brothel scenario. Combos: FEMBOY_ARCHETYPE_Idol; FUTA_SCENE_Strip_Club; FEMBOY_STATE_Teasing_Coy.,THEME
THEME_FEMBOY_Crossdressing,"1boy, femboy, (crossdressing:1.4), wearing feminine clothes, dressed in feminine clothes, cross-dresser, male in feminine clothes","female only, masculine clothes",Crossdressing theme. Combos: FEMBOY_CLOTHES_*; FEMBOY_BODY_Otokonoko; FEMBOY_STATE_Shy_Blushing.,THEME
THEME_FEMBOY_Dom_Femboy,"1boy, femboy, (dominant femboy:1.3), surprisingly in charge, femboy dominating, assertive femboy, femboy top, don't judge by looks","submissive, female only, masculine dom",Dominant femboy. Surprise power dynamic. Combos: FEMBOY_STATE_Confident_Smug; FEMBOY_ARCHETYPE_Delinquent.,THEME
THEME_FEMBOY_Gangbang_Receiving,"1boy, femboy, (gangbang:1.3), multiple partners, surrounded by men, femboy taking multiple cocks, group sex femboy receiving","female only, giving, female anatomy",Femboy receiving gangbang. Combos: FEMBOY_ACTION_Spitroast_Receiving; GROUP_MMMF structure.,THEME
THEME_FEMBOY_Otokonoko,"1boy, femboy, (otokonoko:1.4), crossdressing culture, japanese trap culture, voluntarily feminine, embracing femboy identity","female only, forced, masculine",Otokonoko culture/identity theme. Combos: FEMBOY_BODY_Otokonoko; FEMBOY_CLOTHES_*; FEMBOY_ARCHETYPE_Maid.,THEME
THEME_FEMBOY_Solo,"1boy, femboy, solo, alone, femboy alone, single character, self pleasure, self touching, femboy by himself","female only, multiple characters",Femboy solo theme. Combos: FEMBOY_ACTION_Masturbation; FEMBOY_STATE_Aroused_Embarrassed.,THEME
THEME_FEMBOY_Sub_Femboy,"1boy, femboy, (submissive:1.4), obedient femboy, slave femboy, femboy following orders, femboy bottom, docile","female only, dominant, aggressive",Submissive femboy. Most common dynamic. Combos: FEMBOY_THEME_With_Male or With_Futa; FEMBOY_STATE_Shy_Blushing.,THEME
THEME_FEMBOY_Trap_Reveal,"1boy, femboy, (trap reveal:1.3), surprise gender reveal, shocked reaction, mistaken for opposite gender, gender confusion, reveal moment","female only, obviously male",Trap reveal moment. Combos: FEMBOY_BODY_Otokonoko; FEMBOY_CLOTHES_*; FUTA_THEME_Surprise_Reveal.,THEME
THEME_FEMBOY_With_Femboy,"two femboys, (femboy x femboy:1.3), two traps, trap on trap, femboy couple, two crossdressers together","female only, masculine male",Femboy × femboy. Combos: FEMBOY_BODY_Slender x2; FEMBOY_ACTION_*; GROUP_FFM structure rethemed.,THEME
THEME_FEMBOY_With_Futa,"1boy, femboy, futanari, femboy with futa, futa x femboy, (trap with futanari:1.2), femboy receiving futa","female only, male dominant",Femboy with futa crossover. Combos: FUTA_THEME_With_Femboy; FUTA_BODY_Large + FEMBOY_BODY_Petite.,THEME
THEME_FEMBOY_With_Male,"1boy, femboy, 1boy receiving, male on femboy, (man with trap:1.2), gay-adjacent, femboy with man, BL-lite","female only, female anatomy",Femboy with male partner. Combos: FEMBOY_ACTION_Anal_Receiving; FEMBOY_THEME_Sub_Femboy.,THEME
THEME_FEMBOY_With_Partner_F,"1boy, femboy, femboy with partner, femboy and partner, mixed pair, partner dominant femboy, partner with trap","male only, female only",Femboy with female. Combos: FEMBOY_THEME_Dom_Femboy or Sub; GROUP_FFM structure.,THEME
THEME_FUTA_Corruption,"futanari, (corruption:1.3), (turning into futa:1.3), gender transformation, magic corruption, futa transformation, spontaneous futa, body changing","female only, no penis, unchanged",Corruption into futa — transformation theme. Combos: BASE_Genderswap_MtF; FUTA_BODY_Newhalf for early stage.,THEME
THEME_FUTA_Femdom,"futanari, (femdom:1.4), (futa dominant:1.3), futa in control, dominant futa, commanding futa, futa mistress, futa top","submissive futa, maledom, female only, no penis",Futa as dominant. Combos: FUTA_ARCHETYPE_Dominatrix; FUTA_BODY_Tall_Amazon; FUTA_POSE_Standing_Dominant.,THEME
THEME_FUTA_Harem,"futanari, (harem:1.3), futa with multiple partners, futa surrounded by partners, futa harem, multiple partners, futa as center","solo, male involved, female only, no penis",Futa harem — one futa multiple girls. Combos: GROUP_FFM or FFFM; FUTA_BODY_Tall_Amazon.,THEME
THEME_FUTA_Maledom,"futanari, (male dominant:1.3), (futa submissive:1.2), man dominating futa, futa being controlled, futa bottom to male, male in charge","futa dominant, female only, no penis",Futa being dominated by male. Role reversal. Combos: FUTA_POSE_On_Knees; FUTA_ACTION_Anal_Receiving.,THEME
THEME_FUTA_On_Futa,"futanari on futanari, (futa x futa:1.3), two futas, mutual futa, futa couple, both have penis","female only, male involved",Futa on futa. Combos: FUTA_ACTION_Penetrating_Futa; FUTA_THEME_On_Futa.,THEME
